MatchId,BotType,Result,TimeMs,TotalClicks
168,RandomBot,DEFEAT,0,2
169,RandomBot,DEFEAT,0,6
170,RandomBot,DEFEAT,0,7
171,RandomBot,DEFEAT,0,3
172,RandomBot,DEFEAT,0,4
173,RandomBot,DEFEAT,0,3
174,RandomBot,VICTORY,0,8
175,RandomBot,DEFEAT,0,2
176,RandomBot,DEFEAT,0,15
177,RandomBot,DEFEAT,0,6
178,RandomBot,DEFEAT,1,3
179,RandomBot,DEFEAT,0,3
180,RandomBot,DEFEAT,0,3
181,RandomBot,DEFEAT,0,1
182,RandomBot,DEFEAT,0,3
183,RandomBot,DEFEAT,0,3
184,RandomBot,DEFEAT,0,2
185,RandomBot,DEFEAT,0,3
186,RandomBot,DEFEAT,0,3
187,RandomBot,DEFEAT,0,4
188,RandomBot,DEFEAT,0,6
189,RandomBot,DEFEAT,0,3
190,RandomBot,DEFEAT,0,2
191,RandomBot,DEFEAT,0,5
192,RandomBot,DEFEAT,0,3
193,RandomBot,DEFEAT,0,2
194,RandomBot,DEFEAT,0,3
195,RandomBot,DEFEAT,0,8
196,RandomBot,DEFEAT,0,5
197,RandomBot,DEFEAT,0,3
198,RandomBot,DEFEAT,0,5
199,RandomBot,DEFEAT,0,3
200,RandomBot,DEFEAT,0,3
201,RandomBot,DEFEAT,0,4
202,RandomBot,DEFEAT,0,4
203,RandomBot,DEFEAT,1,9
204,RandomBot,DEFEAT,0,2
205,RandomBot,DEFEAT,0,6
206,RandomBot,DEFEAT,0,5
207,RandomBot,DEFEAT,0,4
208,RandomBot,DEFEAT,0,4
209,RandomBot,DEFEAT,0,4
210,RandomBot,DEFEAT,0,1
211,RandomBot,DEFEAT,0,5
212,RandomBot,DEFEAT,0,2
213,RandomBot,DEFEAT,0,6
214,RandomBot,DEFEAT,0,3
215,RandomBot,DEFEAT,0,3
216,RandomBot,DEFEAT,0,3
217,RandomBot,DEFEAT,0,1
218,RandomBot,DEFEAT,0,2
219,RandomBot,DEFEAT,0,9
220,RandomBot,DEFEAT,0,6
221,RandomBot,DEFEAT,0,9
222,RandomBot,DEFEAT,0,2
223,RandomBot,DEFEAT,0,1
